Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Measurements00002
DateTime:      Wednesday, 12 June 2024, 16:09:12
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_angledependent\Run00005\result.txt
Dimensions:    1
TotalSteps:    299
Created:       06/11/2024 14:59
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating

Angle dependent measurements at -1 deg resonance

Probe 750 nm 1.5 uW
Pump 400 nm 5 mW


Constants:
>	DelayLine [ps]	499.999926

Loops:
>	DelayLine: from -20 to 500 [ps] in 299 steps ZigZag

Operations:
>	Digitizer

Parameters:
> DelayLine,ps,3,299,R,-20,500

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 2 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      500 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      20.02 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
0	-20.000	-0.002785	0.000844	-0.001201
1	-18.000	-0.004120	0.000521	-0.001190
2	-16.000	-0.002783	0.002544	-0.001206
3	-14.000	-0.002905	0.000479	-0.001204
4	-12.000	-0.002734	0.000784	-0.001198
5	-10.000	-0.003049	0.000690	-0.001185
6	-8.000	-0.003016	0.000645	-0.001193
7	-6.000	-0.014902	0.000561	-0.001215
8	-4.000	-0.002981	0.005765	-0.001213
9	-2.000	-0.002835	0.003241	-0.001185
10	-1.900	-0.005593	0.000836	-0.001211
11	-1.800	-0.004650	0.000438	-0.001221
12	-1.700	-0.002927	0.002582	-0.001221
13	-1.600	-0.002831	0.000445	-0.001173
14	-1.500	-0.002818	0.000694	-0.001226
15	-1.400	-0.003042	0.001216	-0.001197
16	-1.300	-0.002668	0.002146	-0.001214
17	-1.200	-0.003261	0.000348	-0.001213
18	-1.100	-0.003043	0.000572	-0.001226
