Data from s_40_grat_Al_Subt2__0__15-25-51-480.txt Node

Date: Thu Jan 18 15:25:51 CET 2024
User: vdhooven
Spectrometer: QEP05097
Trigger mode: 4
Integration Time (sec): 5.000000E-2
Scans to average: 2
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 1044
>>>>>Begin Spectral Data<<<<<
197.106	-0.44
197.905	-3.94
198.704	-2.44
199.503	-0.44
200.302	593.06
201.101	597.56
201.9	600.06
202.699	592.56
203.498	590.06
204.296	581.56
205.095	574.56
205.894	615.56
206.692	606.56
207.491	512.06
208.289	369.56
209.088	271.56
209.886	230.56
210.684	196.06
211.483	185.56
212.281	176.56
213.079	175.56
213.877	170.06
214.675	173.06
215.473	173.06
216.271	161.06
217.069	158.06
217.866	156.06
218.664	155.56
219.462	152.06
220.259	147.56
221.057	146.06
221.855	149.56
222.652	149.56
223.449	144.06
224.247	155.56
225.044	175.56
225.841	217.56
226.638	289.56
227.436	379.06
228.233	447.06
229.03	434.06
229.827	389.56
230.624	374.56
231.42	384.56
232.217	383.06
233.014	384.56
233.811	370.56
234.607	370.06
235.404	377.56
236.2	364.56
236.997	357.06
237.793	361.56
238.589	357.56
239.386	358.56
240.182	350.06
240.978	355.06
241.774	358.56
242.57	350.56
243.366	342.56
244.162	350.56
244.958	336.56
245.754	335.56
246.55	327.06
247.345	323.56
248.141	323.56
248.937	323.56
249.732	329.56
250.528	309.06
251.323	320.56
252.118	307.56
252.914	318.06
253.709	314.56
254.504	306.56
255.299	300.56
256.094	303.06
256.889	305.06
257.684	302.06
258.479	294.56
259.274	299.06
260.069	301.06
260.864	295.56
261.658	301.56
262.453	295.06
263.247	289.56
264.042	279.56
264.836	284.56
265.631	277.56
266.425	273.56
267.219	283.56
268.013	276.06
268.808	276.06
269.602	277.06
270.396	259.56
271.19	253.56
271.984	266.56
272.777	259.06
273.571	262.56
274.365	252.56
275.159	264.06
275.952	265.56
276.746	254.06
277.539	258.56
278.333	255.06
279.126	247.06
279.919	247.06
280.713	240.56
281.506	235.56
282.299	246.56
283.092	246.06
