Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Measurements00002
DateTime:      Wednesday, 12 June 2024, 17:53:15
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_angledependent\Run00010\result.txt
Dimensions:    1
TotalSteps:    299
Created:       06/11/2024 14:59
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating

Angle dependent measurements at +3 deg resonance

Probe 750 nm 1.5 uW
Pump 400 nm 5 mW


Constants:
>	DelayLine [ps]	499.999926

Loops:
>	DelayLine: from -20 to 500 [ps] in 299 steps ZigZag

Operations:
>	Digitizer

Parameters:
> DelayLine,ps,3,299,R,-20,500

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 2 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      500 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      20.02 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
0	-20.000	-0.001242	0.001444	-0.000012
1	-18.000	-0.001655	0.001619	-0.000029
2	-16.000	-0.001403	0.001446	-0.000001
3	-14.000	-0.001336	0.001525	0.000008
4	-12.000	-0.001476	0.001688	0.000002
5	-10.000	-0.001687	0.001421	-0.000022
6	-8.000	-0.001351	0.001458	-0.000004
7	-6.000	-0.001570	0.001484	0.000006
8	-4.000	-0.001354	0.001402	-0.000010
9	-2.000	-0.001345	0.001596	-0.000005
10	-1.900	-0.001246	0.001280	-0.000025
11	-1.800	-0.001828	0.001272	-0.000014
12	-1.700	-0.001363	0.001361	-0.000007
13	-1.600	-0.001528	0.001818	0.000016
14	-1.500	-0.001257	0.001495	-0.000014
15	-1.400	-0.001213	0.001418	0.000015
16	-1.300	-0.001283	0.001402	0.000003
17	-1.200	-0.001580	0.001721	0.000001
18	-1.100	-0.001303	0.001195	-0.000014
